"genero","region","comuna","edad","nes","esc","esperanza","necesario","eval.acuerdo","mejor.pais","org.pol","org.econ","pos.politico","realidad","nueva.const","mecanismo"
"Hombre","RM","Las condes ",38,4,20,"Neutral","Muy de acuerdo","En desacuerdo","Neutral",7,5,4,5,"Aprueba","CC"
"Hombre","RM","La Reina",19,4,13,"Muy en desacuerdo","Muy en desacuerdo","De acuerdo","Muy en desacuerdo",7,4,4,1,"Aprueba","CC"
"Mujer","Valparaiso","Valparaiso",27,3,19,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",3,7,3,2,"Aprueba","CC"
"Hombre","Antofagasta","Antofagasta",24,3,16,"Muy de acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",4,7,3,5,"Aprueba","CM"
"Mujer","RM","Lo prado",19,2,13,"De acuerdo","De acuerdo","Neutral","De acuerdo",5,8,5,4,"Aprueba","CC"
"Hombre","RM","Lampa",28,2,19,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Neutral",1,10,4,5,"Aprueba","CC"
"Hombre","Valparaiso","Quillota",21,1,16,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","Neutral",3,8,2,5,"Aprueba","CC"
"Hombre","RM","Ñuñoa",25,3,18,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",8,4,7,3,"Aprueba","CM"
"Mujer","RM","Santiago centro",25,3,18,"De acuerdo","Muy de acuerdo","Neutral","De acuerdo",2,4,4,4,"Aprueba","CC"
"Hombre","Los Lagos","Osorno",29,2,17,"De acuerdo","De acuerdo","En desacuerdo","Muy de acuerdo",2,7,3,5,"Aprueba","CC"
"Hombre","RM","Maipu",21,2,15,"Muy en desacuerdo","En desacuerdo","Muy en desacuerdo","Muy en desacuerdo",1,2,1,2,"No votara","No votara"
"Hombre","Tarapaca","Iquique ",47,1,26,"Muy de acuerdo","Muy de acuerdo","En desacuerdo","Muy de acuerdo",5,10,2,5,"Aprueba","CC"
"Hombre","RM","El bosque",24,3,17,"Muy de acuerdo","Muy de acuerdo","Muy de acuerdo","Muy de acuerdo",3,7,3,4,"Aprueba","CC"
"Hombre","Biobio","Coronel",32,3,18,"Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo","Muy en desacuerdo",5,6,5,4,"Aprueba","CC"
"Hombre","Valparaiso","Valparaíso",22,3,17,"Neutral","Muy de acuerdo","Muy en desacuerdo","En desacuerdo",2,6,1,6,"Aprueba","CC"
"Hombre","Valparaiso","Quilpué ",41,2,20,"De acuerdo","De acuerdo","Muy en desacuerdo","Muy de acuerdo",8,8,2,8,"Aprueba","CC"
"Hombre","RM","San Bernardo ",40,2,15,"Muy de acuerdo","Muy de acuerdo","De acuerdo","Muy de acuerdo",2,5,2,10,"Aprueba","CC"
"Hombre","RM","santiago",28,3,20,"De acuerdo","Muy de acuerdo","Muy en desacuerdo","De acuerdo",5,6,3,6,"Aprueba","CC"
"Hombre","RM","providencia",20,4,13,"De acuerdo","Muy de acuerdo","En desacuerdo","De acuerdo",5,8,3,4,"Aprueba","CC"
"Hombre","Araucania","Temuco",28,4,17,"De acuerdo","Muy de acuerdo","Neutral","Muy de acuerdo",1,7,2,7,"Aprueba","CC"
